loc,loc_,loc_pair
Capital Enclave,270.0,"('Capital Enclave', 270.0)"
G-16,494.0,"('G-16', 494.0)"
Spring Valley,1377.0,"('Spring Valley', 1377.0)"
Kareem City,783.0,"('Kareem City', 783.0)"
Lasani Garden,873.0,"('Lasani Garden', 873.0)"
Gulshan-e-Hayat,596.0,"('Gulshan-e-Hayat', 596.0)"
Zia Colony,1503.0,"('Zia Colony', 1503.0)"
Sheikh Colony,1343.0,"('Sheikh Colony', 1343.0)"
Gawal Mandi,516.0,"('Gawal Mandi', 516.0)"
Asghar Mall Road,142.0,"('Asghar Mall Road', 142.0)"
Air Avenue City,45.0,"('Air Avenue City', 45.0)"
Saidpur Road,1260.0,"('Saidpur Road', 1260.0)"
Friends Colony,487.0,"('Friends Colony', 487.0)"
Bilal Colony,233.0,"('Bilal Colony', 233.0)"
Jinnah Colony,745.0,"('Jinnah Colony', 745.0)"
Sajid Garden,1263.0,"('Sajid Garden', 1263.0)"
Salamatpura,1265.0,"('Salamatpura', 1265.0)"
Garhi Shahu,511.0,"('Garhi Shahu', 511.0)"
Sham Nagar,1336.0,"('Sham Nagar', 1336.0)"
River View Coop Housing Society,1229.0,"('River View Coop Housing Society', 1229.0)"
Wahdat Colony,1467.0,"('Wahdat Colony', 1467.0)"
Bahar Shah Road,196.0,"('Bahar Shah Road', 196.0)"
Band Road,209.0,"('Band Road', 209.0)"
Ring Road,1227.0,"('Ring Road', 1227.0)"
Iqbal Avenue,689.0,"('Iqbal Avenue', 689.0)"
Rehan Garden,1210.0,"('Rehan Garden', 1210.0)"
Khaliq-uz-Zaman Road,798.0,"('Khaliq-uz-Zaman Road', 798.0)"
Lyari Expressway,890.0,"('Lyari Expressway', 890.0)"
Orangi Town,1079.0,"('Orangi Town', 1079.0)"
Gulshan-e-Areesha,592.0,"('Gulshan-e-Areesha', 592.0)"
Javed Bahria Coopretive Housing Society,733.0,"('Javed Bahria Coopretive Housing Society', 733.0)"
AGHOSH,4.0,"('AGHOSH', 4.0)"
Taramrri,1417.0,"('Taramrri', 1417.0)"
E-16,418.0,"('E-16', 418.0)"
Islamabad - Murree Expressway,694.0,"('Islamabad - Murree Expressway', 694.0)"
9th Avenue,3.0,"('9th Avenue', 3.0)"
Jameel Town,720.0,"('Jameel Town', 720.0)"
Khayaban Colony 2,807.0,"('Khayaban Colony 2', 807.0)"
Gulfishan Colony,566.0,"('Gulfishan Colony', 566.0)"
Dhudi Wala,400.0,"('Dhudi Wala', 400.0)"
Canal Park,262.0,"('Canal Park', 262.0)"
Mahmoodabad,903.0,"('Mahmoodabad', 903.0)"
Shadman Colony,1302.0,"('Shadman Colony', 1302.0)"
Bostan Road,244.0,"('Bostan Road', 244.0)"
Morgah,979.0,"('Morgah', 979.0)"
Lalkurti,868.0,"('Lalkurti', 868.0)"
Mohammadi Colony,969.0,"('Mohammadi Colony', 969.0)"
Tench Bhata,1428.0,"('Tench Bhata', 1428.0)"
Amin Town,130.0,"('Amin Town', 130.0)"
CBR Town Phase 2,254.0,"('CBR Town Phase 2', 254.0)"
Askari 9,164.0,"('Askari 9', 164.0)"
Abid Market,23.0,"('Abid Market', 23.0)"
Shalimar Town,1334.0,"('Shalimar Town', 1334.0)"
Al Hafeez Gardens,65.0,"('Al Hafeez Gardens', 65.0)"
Canal Bank Housing Scheme,257.0,"('Canal Bank Housing Scheme', 257.0)"
Tajpura,1413.0,"('Tajpura', 1413.0)"
Landhi,871.0,"('Landhi', 871.0)"
Kashmir Road,790.0,"('Kashmir Road', 790.0)"
ASF Tower,8.0,"('ASF Tower', 8.0)"
Dastgir Colony,359.0,"('Dastgir Colony', 359.0)"
Rashid Minhas Road,1194.0,"('Rashid Minhas Road', 1194.0)"
Khayaban-e-Ittehad Road,812.0,"('Khayaban-e-Ittehad Road', 812.0)"
Dalmia Cement Factory Road,353.0,"('Dalmia Cement Factory Road', 353.0)"
Defence Garden,367.0,"('Defence Garden', 367.0)"
PAEC Employees Cooperative Housing Society,1085.0,"('PAEC Employees Cooperative Housing Society', 1085.0)"
D-12,342.0,"('D-12', 342.0)"
Green Avenue,544.0,"('Green Avenue', 544.0)"
Koral Chowk,831.0,"('Koral Chowk', 831.0)"
Jhang Road,739.0,"('Jhang Road', 739.0)"
Citi Housing Society,319.0,"('Citi Housing Society', 319.0)"
Bahria Orchard,199.0,"('Bahria Orchard', 199.0)"
Shershah Colony - Ichra,1350.0,"('Shershah Colony - Ichra', 1350.0)"
Al-Hamd Garden,89.0,"('Al-Hamd Garden', 89.0)"
Expo Avenue Society,441.0,"('Expo Avenue Society', 441.0)"
Peco Road,1121.0,"('Peco Road', 1121.0)"
Aabpara Coop Housing Society,10.0,"('Aabpara Coop Housing Society', 10.0)"
Beacon House Society,219.0,"('Beacon House Society', 219.0)"
Khayaban-e-Quaid,815.0,"('Khayaban-e-Quaid', 815.0)"
Manawan,919.0,"('Manawan', 919.0)"
Bhagatpura,226.0,"('Bhagatpura', 226.0)"
PCSIR Staff Colony,1093.0,"('PCSIR Staff Colony', 1093.0)"
P & D Housing Society,1083.0,"('P & D Housing Society', 1083.0)"
Sindh Industrial Trading Estate (SITE),1363.0,"('Sindh Industrial Trading Estate (SITE)', 1363.0)"
Britto Road,246.0,"('Britto Road', 246.0)"
River Garden,1228.0,"('River Garden', 1228.0)"
E-18,419.0,"('E-18', 419.0)"
Chak 208 Road,279.0,"('Chak 208 Road', 279.0)"
Khayaban-e-Tanveer,817.0,"('Khayaban-e-Tanveer', 817.0)"
Dhamyal Road,372.0,"('Dhamyal Road', 372.0)"
Sadiqa Abad,1250.0,"('Sadiqa Abad', 1250.0)"
Samarzar Housing Society,1272.0,"('Samarzar Housing Society', 1272.0)"
Quaid-e-Azam Colony,1163.0,"('Quaid-e-Azam Colony', 1163.0)"
Sher Zaman Colony,1347.0,"('Sher Zaman Colony', 1347.0)"
Abdullah City,17.0,"('Abdullah City', 17.0)"
Four Season Housing,484.0,"('Four Season Housing', 484.0)"
National Town,1021.0,"('National Town', 1021.0)"
Canal Burg,258.0,"('Canal Burg', 258.0)"
Azam Gardens,175.0,"('Azam Gardens', 175.0)"
Daroghewala,356.0,"('Daroghewala', 356.0)"
Eden Park,427.0,"('Eden Park', 427.0)"
Chohan Road,314.0,"('Chohan Road', 314.0)"
Wassanpura,1480.0,"('Wassanpura', 1480.0)"
Ghous Garden,524.0,"('Ghous Garden', 524.0)"
Kacha Jail Road,757.0,"('Kacha Jail Road', 757.0)"
Sanda,1276.0,"('Sanda', 1276.0)"
Revenue Society,1222.0,"('Revenue Society', 1222.0)"
Shera Kot,1348.0,"('Shera Kot', 1348.0)"
Naya Nazimabad,1031.0,"('Naya Nazimabad', 1031.0)"
KDA Scheme 1,754.0,"('KDA Scheme 1', 754.0)"
Golra Mor,535.0,"('Golra Mor', 535.0)"
G-12,490.0,"('G-12', 490.0)"
Shahpur,1320.0,"('Shahpur', 1320.0)"
12th Avenue,0.0,"('12th Avenue', 0.0)"
Jhumra Road,742.0,"('Jhumra Road', 742.0)"
Chakra Road,290.0,"('Chakra Road', 290.0)"
Al-Haram City - Phase 2,91.0,"('Al-Haram City - Phase 2', 91.0)"
Caltex Road,256.0,"('Caltex Road', 256.0)"
Amer Pura,128.0,"('Amer Pura', 128.0)"
Kartar Pura,787.0,"('Kartar Pura', 787.0)"
Peer Meher Ali Shah Town,1123.0,"('Peer Meher Ali Shah Town', 1123.0)"
Al Noor Garden,77.0,"('Al Noor Garden', 77.0)"
Millat Road,959.0,"('Millat Road', 959.0)"
Police Foundation Housing Scheme,1136.0,"('Police Foundation Housing Scheme', 1136.0)"
New Shah Kamal Colony,1052.0,"('New Shah Kamal Colony', 1052.0)"
Birdwood Road,239.0,"('Birdwood Road', 239.0)"
Dogech,409.0,"('Dogech', 409.0)"
Shamkay Bhattian,1338.0,"('Shamkay Bhattian', 1338.0)"
Rehman Gardens,1212.0,"('Rehman Gardens', 1212.0)"
Saadi Road,1244.0,"('Saadi Road', 1244.0)"
Karachi Motorway,778.0,"('Karachi Motorway', 778.0)"
Tipu Sultan Road,1438.0,"('Tipu Sultan Road', 1438.0)"
Club Road,327.0,"('Club Road', 327.0)"
Gulshan-e-Khudadad,600.0,"('Gulshan-e-Khudadad', 600.0)"
H-12,621.0,"('H-12', 621.0)"
Kacha Ferozepur Road,756.0,"('Kacha Ferozepur Road', 756.0)"
Sultan Town,1390.0,"('Sultan Town', 1390.0)"
New Chauburji Park,1044.0,"('New Chauburji Park', 1044.0)"
Ryaz ul Jannah,1240.0,"('Ryaz ul Jannah', 1240.0)"
Suhail Abad,1384.0,"('Suhail Abad', 1384.0)"
Safari View Residencia,1253.0,"('Safari View Residencia', 1253.0)"
Liaquat Colony,883.0,"('Liaquat Colony', 883.0)"
Army Officers Colony,140.0,"('Army Officers Colony', 140.0)"
Race Course,1169.0,"('Race Course', 1169.0)"
Kurri Road,844.0,"('Kurri Road', 844.0)"
Faisal Colony,452.0,"('Faisal Colony', 452.0)"
Sheikhupura Road,1344.0,"('Sheikhupura Road', 1344.0)"
Punjab Govt Servant Society,1149.0,"('Punjab Govt Servant Society', 1149.0)"
Gulshan-e-Amin,591.0,"('Gulshan-e-Amin', 591.0)"
Manghopir Road,922.0,"('Manghopir Road', 922.0)"
Golimar,534.0,"('Golimar', 534.0)"
Shah Rasool Colony,1312.0,"('Shah Rasool Colony', 1312.0)"
H-9,625.0,"('H-9', 625.0)"
Zaheer Villas,1494.0,"('Zaheer Villas', 1494.0)"
Bhogiwal Road,232.0,"('Bhogiwal Road', 232.0)"
Omega Homes,1078.0,"('Omega Homes', 1078.0)"
Al Jalil Garden,70.0,"('Al Jalil Garden', 70.0)"
Gajju Matah,506.0,"('Gajju Matah', 506.0)"
Rizwan Garden Scheme,1231.0,"('Rizwan Garden Scheme', 1231.0)"
D Type Colony,341.0,"('D Type Colony', 341.0)"
Gulgasht Colony,568.0,"('Gulgasht Colony', 568.0)"
Guru Nanak Pura,619.0,"('Guru Nanak Pura', 619.0)"
Aria Mohalla,139.0,"('Aria Mohalla', 139.0)"
Kahuta,764.0,"('Kahuta', 764.0)"
Pindora,1130.0,"('Pindora', 1130.0)"
Allama Iqbal Colony,116.0,"('Allama Iqbal Colony', 116.0)"
Aslam Shaheed Road,165.0,"('Aslam Shaheed Road', 165.0)"
Riaz Qureshi Road,1224.0,"('Riaz Qureshi Road', 1224.0)"
Begampura,223.0,"('Begampura', 223.0)"
Rana Town,1188.0,"('Rana Town', 1188.0)"
Mohlanwal,971.0,"('Mohlanwal', 971.0)"
Nishtar Road (Lawrence Road),1062.0,"('Nishtar Road (Lawrence Road)', 1062.0)"
Al-Hilal Society,92.0,"('Al-Hilal Society', 92.0)"
Shah Jamal,1308.0,"('Shah Jamal', 1308.0)"
Gul Kali,557.0,"('Gul Kali', 557.0)"
Eden Avenue Extension,424.0,"('Eden Avenue Extension', 424.0)"
Habib Homes,627.0,"('Habib Homes', 627.0)"
Lahore Canal Bank Cooperative Housing Society,852.0,"('Lahore Canal Bank Cooperative Housing Society', 852.0)"
Riwaz Garden,1230.0,"('Riwaz Garden', 1230.0)"
Manga Mandi,921.0,"('Manga Mandi', 921.0)"
Azeem Garden Shahdara,177.0,"('Azeem Garden Shahdara', 177.0)"
Formanites Housing Scheme,482.0,"('Formanites Housing Scheme', 482.0)"
Gatwala Chowk,514.0,"('Gatwala Chowk', 514.0)"
Valencia Gardens,1459.0,"('Valencia Gardens', 1459.0)"
Allahabad Road,115.0,"('Allahabad Road', 115.0)"
Cricket Stadium Road,337.0,"('Cricket Stadium Road', 337.0)"
Khayaban Gardens,808.0,"('Khayaban Gardens', 808.0)"
Dhok Gujran,381.0,"('Dhok Gujran', 381.0)"
Bostan Valley,245.0,"('Bostan Valley', 245.0)"
National Highway,1018.0,"('National Highway', 1018.0)"
Maqboolabad Society,928.0,"('Maqboolabad Society', 928.0)"
Faisal Town - F-18,456.0,"('Faisal Town - F-18', 456.0)"
Al Huda Town,69.0,"('Al Huda Town', 69.0)"
I-13,667.0,"('I-13', 667.0)"
New Muslim Town,1050.0,"('New Muslim Town', 1050.0)"
Sally Town South,1267.0,"('Sally Town South', 1267.0)"
Al-Kareem Premier Housing Scheme,96.0,"('Al-Kareem Premier Housing Scheme', 96.0)"
Ittehad Colony,707.0,"('Ittehad Colony', 707.0)"
Zaitoon - New Lahore City,1495.0,"('Zaitoon - New Lahore City', 1495.0)"
Jaffar Town,710.0,"('Jaffar Town', 710.0)"
Bakar Mandi Road,204.0,"('Bakar Mandi Road', 204.0)"
Nazimabad Villas,1036.0,"('Nazimabad Villas', 1036.0)"
Nighabanpura,1056.0,"('Nighabanpura', 1056.0)"
Ravi Gardens,1197.0,"('Ravi Gardens', 1197.0)"
Sarafa Bazar,1283.0,"('Sarafa Bazar', 1283.0)"
Khurram Colony,823.0,"('Khurram Colony', 823.0)"
Frere Town,486.0,"('Frere Town', 486.0)"
G-6,496.0,"('G-6', 496.0)"
Qutbal Town,1166.0,"('Qutbal Town', 1166.0)"
Chur Chowk,317.0,"('Chur Chowk', 317.0)"
Punjab Coop Housing Society,1146.0,"('Punjab Coop Housing Society', 1146.0)"
Anarkali,134.0,"('Anarkali', 134.0)"
Sodiwal,1374.0,"('Sodiwal', 1374.0)"
Shiraz Villas,1353.0,"('Shiraz Villas', 1353.0)"
NFC 1,1002.0,"('NFC 1', 1002.0)"
Shah Faisal Road,1306.0,"('Shah Faisal Road', 1306.0)"
Government Employees Cooperative Housing Society (GECHS),540.0,"('Government Employees Cooperative Housing Society (GECHS)', 540.0)"
Green View Colony,552.0,"('Green View Colony', 552.0)"
Latif Garden,875.0,"('Latif Garden', 875.0)"
Faisal Gardens,453.0,"('Faisal Gardens', 453.0)"
Dhanola,374.0,"('Dhanola', 374.0)"
Islamabad Farm Houses,698.0,"('Islamabad Farm Houses', 698.0)"
Banaras Colony,208.0,"('Banaras Colony', 208.0)"
Chaklala,287.0,"('Chaklala', 287.0)"
Wazir Town,1481.0,"('Wazir Town', 1481.0)"
Dhoke Munshi Khan,396.0,"('Dhoke Munshi Khan', 396.0)"
Falaknaz Dynasty,462.0,"('Falaknaz Dynasty', 462.0)"
Etawa Society,439.0,"('Etawa Society', 439.0)"
C-18,251.0,"('C-18', 251.0)"
Royal City,1233.0,"('Royal City', 1233.0)"
D Ground,340.0,"('D Ground', 340.0)"
Firdosi Road,480.0,"('Firdosi Road', 480.0)"
Azizabad,179.0,"('Azizabad', 179.0)"
Dubai Town,413.0,"('Dubai Town', 413.0)"
Farooq Colony,467.0,"('Farooq Colony', 467.0)"
Ali Alam Garden,106.0,"('Ali Alam Garden', 106.0)"
Al-Falah Cooperative Housing Society,85.0,"('Al-Falah Cooperative Housing Society', 85.0)"
Nussah Town,1070.0,"('Nussah Town', 1070.0)"
Cosmopolitan Society,333.0,"('Cosmopolitan Society', 333.0)"
Liaquat Avenue,881.0,"('Liaquat Avenue', 881.0)"
F-9,449.0,"('F-9', 449.0)"
Airport Enclave,51.0,"('Airport Enclave', 51.0)"
Holy Family Road,658.0,"('Holy Family Road', 658.0)"
Shah Khalid Colony,1310.0,"('Shah Khalid Colony', 1310.0)"
Allama Iqbal Intl Airport,117.0,"('Allama Iqbal Intl Airport', 117.0)"
TECH Society,1407.0,"('TECH Society', 1407.0)"
Lahore Press Club Housing Scheme,857.0,"('Lahore Press Club Housing Scheme', 857.0)"
Peer Colony,1122.0,"('Peer Colony', 1122.0)"
Jora Pull,748.0,"('Jora Pull', 748.0)"
Krishan Nagar,840.0,"('Krishan Nagar', 840.0)"
Youhanabad,1489.0,"('Youhanabad', 1489.0)"
Khurianwala,822.0,"('Khurianwala', 822.0)"
Shadab Colony,1296.0,"('Shadab Colony', 1296.0)"
Dhoke Gangal,393.0,"('Dhoke Gangal', 393.0)"
Dhoke Hassu,394.0,"('Dhoke Hassu', 394.0)"
MT Khan Road,894.0,"('MT Khan Road', 894.0)"
Dr Daud Pota Road,410.0,"('Dr Daud Pota Road', 410.0)"
Shehzad Town,1342.0,"('Shehzad Town', 1342.0)"
Raheem Gardens,1172.0,"('Raheem Gardens', 1172.0)"
Royal Garden,1235.0,"('Royal Garden', 1235.0)"
Super Town,1399.0,"('Super Town', 1399.0)"
Bait-ul-Raza Colony,203.0,"('Bait-ul-Raza Colony', 203.0)"
Hamza Town,638.0,"('Hamza Town', 638.0)"
Real Cottages,1209.0,"('Real Cottages', 1209.0)"
Sue-e-Asal,1382.0,"('Sue-e-Asal', 1382.0)"
New Garden Town,1045.0,"('New Garden Town', 1045.0)"
Rehmania Town,1219.0,"('Rehmania Town', 1219.0)"
Wah Link Road,1466.0,"('Wah Link Road', 1466.0)"
DHA City Karachi,350.0,"('DHA City Karachi', 350.0)"
Rawal Enclave,1200.0,"('Rawal Enclave', 1200.0)"
IJP Road,675.0,"('IJP Road', 675.0)"
Commercial Market,330.0,"('Commercial Market', 330.0)"
Gulshan-e-Saeed,608.0,"('Gulshan-e-Saeed', 608.0)"
Chenab Gardens,309.0,"('Chenab Gardens', 309.0)"
Shakrial,1330.0,"('Shakrial', 1330.0)"
Makkah Colony,905.0,"('Makkah Colony', 905.0)"
Pak Park,1105.0,"('Pak Park', 1105.0)"
Nabi Pura,1007.0,"('Nabi Pura', 1007.0)"
Al Hamad Colony,66.0,"('Al Hamad Colony', 66.0)"
Punjab University Employees Society,1153.0,"('Punjab University Employees Society', 1153.0)"
Surti Muslim Co-Operative Housing Society,1401.0,"('Surti Muslim Co-Operative Housing Society', 1401.0)"
ASF Housing Scheme,7.0,"('ASF Housing Scheme', 7.0)"
Muslimabad Society,998.0,"('Muslimabad Society', 998.0)"
Bilal Town,237.0,"('Bilal Town', 237.0)"
Cotton Export Cooperative Housing Society,334.0,"('Cotton Export Cooperative Housing Society', 334.0)"
Naval Housing Scheme,1025.0,"('Naval Housing Scheme', 1025.0)"
Maskan Chowrangi,935.0,"('Maskan Chowrangi', 935.0)"
Iqbal Town,691.0,"('Iqbal Town', 691.0)"
Haji Abad,629.0,"('Haji Abad', 629.0)"
Sir Syed Town,1367.0,"('Sir Syed Town', 1367.0)"
Umer Garden,1452.0,"('Umer Garden', 1452.0)"
Kalma Chowk,772.0,"('Kalma Chowk', 772.0)"
Gulshan Dadan,580.0,"('Gulshan Dadan', 580.0)"
Ahmad Avenue,40.0,"('Ahmad Avenue', 40.0)"
Sufiabad,1383.0,"('Sufiabad', 1383.0)"
Al Noor Town,78.0,"('Al Noor Town', 78.0)"
Gosha-e-Ahbab,538.0,"('Gosha-e-Ahbab', 538.0)"
Lahore Cantt Coop Housing,853.0,"('Lahore Cantt Coop Housing', 853.0)"
Walton Railway Officers Colony,1471.0,"('Walton Railway Officers Colony', 1471.0)"
Gawalmandi,518.0,"('Gawalmandi', 518.0)"
Khuda Ki Basti,820.0,"('Khuda Ki Basti', 820.0)"
Shaheed-e-Millat Expressway,1317.0,"('Shaheed-e-Millat Expressway', 1317.0)"
Hawks Bay Scheme 42,649.0,"('Hawks Bay Scheme 42', 649.0)"
Gulistan Colony No 2,571.0,"('Gulistan Colony No 2', 571.0)"
Quaid-e-Azam Park,1164.0,"('Quaid-e-Azam Park', 1164.0)"
Khanna Road,801.0,"('Khanna Road', 801.0)"
Zeeshan Colony,1501.0,"('Zeeshan Colony', 1501.0)"
Tipu Road,1437.0,"('Tipu Road', 1437.0)"
Kacheri Chowk,760.0,"('Kacheri Chowk', 760.0)"
Faiz Bagh,460.0,"('Faiz Bagh', 460.0)"
Al Jannat Housing Scheme,72.0,"('Al Jannat Housing Scheme', 72.0)"
Jaffaria Colony,711.0,"('Jaffaria Colony', 711.0)"
Ameen Park,125.0,"('Ameen Park', 125.0)"
Lahore Garden Housing Scheme,854.0,"('Lahore Garden Housing Scheme', 854.0)"
Rawal Town,1202.0,"('Rawal Town', 1202.0)"
Tariqabad,1421.0,"('Tariqabad', 1421.0)"
Badar Colony,189.0,"('Badar Colony', 189.0)"
PIA Colony,1095.0,"('PIA Colony', 1095.0)"
Jallo,716.0,"('Jallo', 716.0)"
Wafaqi Colony,1465.0,"('Wafaqi Colony', 1465.0)"
Abdali Road,13.0,"('Abdali Road', 13.0)"
Kamran Chowrangi,776.0,"('Kamran Chowrangi', 776.0)"
Gizri Road,530.0,"('Gizri Road', 530.0)"
Peoples Colony,1125.0,"('Peoples Colony', 1125.0)"
Daniyal Town,355.0,"('Daniyal Town', 355.0)"
Gobind Pura,532.0,"('Gobind Pura', 532.0)"
Transformer Chowk,1442.0,"('Transformer Chowk', 1442.0)"
Ranial,1192.0,"('Ranial', 1192.0)"
LDA Avenue,845.0,"('LDA Avenue', 845.0)"
Saggian Wala Bypass Road,1255.0,"('Saggian Wala Bypass Road', 1255.0)"
Gul-e-Damin,558.0,"('Gul-e-Damin', 558.0)"
PASSCO Housing Society,1091.0,"('PASSCO Housing Society', 1091.0)"
Shama Road,1337.0,"('Shama Road', 1337.0)"
Sheraz Town,1349.0,"('Sheraz Town', 1349.0)"
Abdullah Haroon Road,19.0,"('Abdullah Haroon Road', 19.0)"
Kashmir Colony,788.0,"('Kashmir Colony', 788.0)"
Steam Power Station Colony,1381.0,"('Steam Power Station Colony', 1381.0)"
Chanman Abad,295.0,"('Chanman Abad', 295.0)"
Magistrate Colony,901.0,"('Magistrate Colony', 901.0)"
Sher Shah Road,1345.0,"('Sher Shah Road', 1345.0)"
Rustam Park,1239.0,"('Rustam Park', 1239.0)"
Mohlanwal Road,972.0,"('Mohlanwal Road', 972.0)"
Korangi Road,836.0,"('Korangi Road', 836.0)"
Swan Garden,1404.0,"('Swan Garden', 1404.0)"
Karim Town,786.0,"('Karim Town', 786.0)"
Sitara Colony,1369.0,"('Sitara Colony', 1369.0)"
Gulshan-e-Shamal,610.0,"('Gulshan-e-Shamal', 610.0)"
Maulana Shaukat Ali Road,939.0,"('Maulana Shaukat Ali Road', 939.0)"
Zubaida Park,1505.0,"('Zubaida Park', 1505.0)"
Temple Road,1427.0,"('Temple Road', 1427.0)"
McLeod Road,942.0,"('McLeod Road', 942.0)"
Frash Town,485.0,"('Frash Town', 485.0)"
Tali Mori,1415.0,"('Tali Mori', 1415.0)"
Al-Hamd Park,90.0,"('Al-Hamd Park', 90.0)"
Labor Colony,847.0,"('Labor Colony', 847.0)"
Malik Park,910.0,"('Malik Park', 910.0)"
Rehman City - Phase 4,1211.0,"('Rehman City - Phase 4', 1211.0)"
Nai Abadi Harbanspura,1010.0,"('Nai Abadi Harbanspura', 1010.0)"
Education Town,431.0,"('Education Town', 431.0)"
Khokhar Town,819.0,"('Khokhar Town', 819.0)"
Sarwar Town,1289.0,"('Sarwar Town', 1289.0)"
Thalian,1431.0,"('Thalian', 1431.0)"
Thanda Pani,1432.0,"('Thanda Pani', 1432.0)"
PAF Tarnol,1090.0,"('PAF Tarnol', 1090.0)"
Raja Colony,1183.0,"('Raja Colony', 1183.0)"
Officers Colony,1074.0,"('Officers Colony', 1074.0)"
Dhoke Syedan,398.0,"('Dhoke Syedan', 398.0)"
Chaudhary Wilayat Khan Road,307.0,"('Chaudhary Wilayat Khan Road', 307.0)"
People Colony,1124.0,"('People Colony', 1124.0)"
Munawar Colony,989.0,"('Munawar Colony', 989.0)"
Kotli Abdur Rahman,839.0,"('Kotli Abdur Rahman', 839.0)"
Grand Avenues Housing Scheme,542.0,"('Grand Avenues Housing Scheme', 542.0)"
Chaudhary Park,306.0,"('Chaudhary Park', 306.0)"
Zero Point,1502.0,"('Zero Point', 1502.0)"
Madan Pura,895.0,"('Madan Pura', 895.0)"
Lahore - Sheikhupura - Faisalabad Road,851.0,"('Lahore - Sheikhupura - Faisalabad Road', 851.0)"
Walait Homes,1469.0,"('Walait Homes', 1469.0)"
Eastridge Housing Scheme,422.0,"('Eastridge Housing Scheme', 422.0)"
Kharak,802.0,"('Kharak', 802.0)"
Canal Fort II,260.0,"('Canal Fort II', 260.0)"
AR Cottages,6.0,"('AR Cottages', 6.0)"
Fateh Villas,472.0,"('Fateh Villas', 472.0)"
Combo Colony,329.0,"('Combo Colony', 329.0)"
Hakim Town,635.0,"('Hakim Town', 635.0)"
New Shakrial,1053.0,"('New Shakrial', 1053.0)"
Sihala,1359.0,"('Sihala', 1359.0)"
Rajgarh Road,1185.0,"('Rajgarh Road', 1185.0)"
Lower Mall,888.0,"('Lower Mall', 888.0)"
Jia Baga Road,743.0,"('Jia Baga Road', 743.0)"
Habibullah Road,628.0,"('Habibullah Road', 628.0)"
Riaz ul Jannah,1225.0,"('Riaz ul Jannah', 1225.0)"
Nishatabad,1060.0,"('Nishatabad', 1060.0)"
Chah Sultan,277.0,"('Chah Sultan', 277.0)"
Mangral Town,924.0,"('Mangral Town', 924.0)"
Amarpura,124.0,"('Amarpura', 124.0)"
Saeed Colony,1252.0,"('Saeed Colony', 1252.0)"
Azeem Town,178.0,"('Azeem Town', 178.0)"
Hanif Park Harbanspura,640.0,"('Hanif Park Harbanspura', 640.0)"
Sanda Road,1277.0,"('Sanda Road', 1277.0)"
Mustafa Abad,999.0,"('Mustafa Abad', 999.0)"
Scheme 45,1293.0,"('Scheme 45', 1293.0)"
F-15,444.0,"('F-15', 444.0)"
Green Hills Housing Scheme,548.0,"('Green Hills Housing Scheme', 548.0)"
Hassan Villas,648.0,"('Hassan Villas', 648.0)"
Babar Colony,185.0,"('Babar Colony', 185.0)"
Siddiqia Colony,1356.0,"('Siddiqia Colony', 1356.0)"
China Scheme,311.0,"('China Scheme', 311.0)"
Amir Khusro,132.0,"('Amir Khusro', 132.0)"
Bankers Co-operative Housing Society,212.0,"('Bankers Co-operative Housing Society', 212.0)"
Waris Colony,1476.0,"('Waris Colony', 1476.0)"
Bahar Colony,195.0,"('Bahar Colony', 195.0)"
Ali Housing Colony,108.0,"('Ali Housing Colony', 108.0)"
Khawaja Islam Road,805.0,"('Khawaja Islam Road', 805.0)"
Ahmadabad,42.0,"('Ahmadabad', 42.0)"
Jhang Bazar,738.0,"('Jhang Bazar', 738.0)"
Dheri Hassanabad,376.0,"('Dheri Hassanabad', 376.0)"
Sami Town,1273.0,"('Sami Town', 1273.0)"
UET Housing Society,1449.0,"('UET Housing Society', 1449.0)"
Alia Town,113.0,"('Alia Town', 113.0)"
Waris Road,1479.0,"('Waris Road', 1479.0)"
Dholanwal,399.0,"('Dholanwal', 399.0)"
Sakhi Hassan Chowrangi,1264.0,"('Sakhi Hassan Chowrangi', 1264.0)"
Naval Colony,1023.0,"('Naval Colony', 1023.0)"
PECHS,1094.0,"('PECHS', 1094.0)"
Chauburji Park Road,303.0,"('Chauburji Park Road', 303.0)"
Asim Town,149.0,"('Asim Town', 149.0)"
Nemat Colony No 2,1040.0,"('Nemat Colony No 2', 1040.0)"
Kaleem Shaheed Colony No 2,770.0,"('Kaleem Shaheed Colony No 2', 770.0)"
Liaquat Town,884.0,"('Liaquat Town', 884.0)"
Babuwala,187.0,"('Babuwala', 187.0)"
New Afzal Town,1041.0,"('New Afzal Town', 1041.0)"
Chinar Bagh,312.0,"('Chinar Bagh', 312.0)"
Judicial Town,752.0,"('Judicial Town', 752.0)"
G-5,495.0,"('G-5', 495.0)"
Islam Nagar,693.0,"('Islam Nagar', 693.0)"
Abdul Sattar Edhi Road,15.0,"('Abdul Sattar Edhi Road', 15.0)"
Heaven Homes,651.0,"('Heaven Homes', 651.0)"
Kot Khawaja Saeed,837.0,"('Kot Khawaja Saeed', 837.0)"
Kachupura,761.0,"('Kachupura', 761.0)"
Hajvery Housing Scheme,633.0,"('Hajvery Housing Scheme', 633.0)"
Makki Complex,908.0,"('Makki Complex', 908.0)"
Makkah Garden,907.0,"('Makkah Garden', 907.0)"
Al Najaf Colony,76.0,"('Al Najaf Colony', 76.0)"
Bakra Mandi,205.0,"('Bakra Mandi', 205.0)"
