loc,loc_,loc_pair
Sultan Pura,1389.0,"('Sultan Pura', 1389.0)"
Sabzazar Scheme,1246.0,"('Sabzazar Scheme', 1246.0)"
T & T Aabpara Housing Society,1405.0,"('T & T Aabpara Housing Society', 1405.0)"
Al Faisal Town,62.0,"('Al Faisal Town', 62.0)"
Canal Garden,261.0,"('Canal Garden', 261.0)"
Muslim Nagar Housing Scheme,996.0,"('Muslim Nagar Housing Scheme', 996.0)"
Johar Town,747.0,"('Johar Town', 747.0)"
Tricon Village,1443.0,"('Tricon Village', 1443.0)"
PCSIR Housing Scheme,1092.0,"('PCSIR Housing Scheme', 1092.0)"
Pak Arab Housing Society,1104.0,"('Pak Arab Housing Society', 1104.0)"
Green Fort,547.0,"('Green Fort', 547.0)"
Wapda Town,1475.0,"('Wapda Town', 1475.0)"
State Life Housing Society,1380.0,"('State Life Housing Society', 1380.0)"
Wahdat Road,1468.0,"('Wahdat Road', 1468.0)"
DHA 11 Rahbar,348.0,"('DHA 11 Rahbar', 348.0)"
Shershah Colony - Raiwind Road,1351.0,"('Shershah Colony - Raiwind Road', 1351.0)"
Jaranwala Road,730.0,"('Jaranwala Road', 730.0)"
Wapda City,1473.0,"('Wapda City', 1473.0)"
Lalazar,866.0,"('Lalazar', 866.0)"
Askari 11,153.0,"('Askari 11', 153.0)"
Satellite Town,1290.0,"('Satellite Town', 1290.0)"
Al-Noor Colony,98.0,"('Al-Noor Colony', 98.0)"
Clifton,324.0,"('Clifton', 324.0)"
Northern Bypass,1068.0,"('Northern Bypass', 1068.0)"
Fazaia Housing Scheme,474.0,"('Fazaia Housing Scheme', 474.0)"
New Karachi,1047.0,"('New Karachi', 1047.0)"
Khalid Bin Walid Road,797.0,"('Khalid Bin Walid Road', 797.0)"
Shaheed Millat Road,1316.0,"('Shaheed Millat Road', 1316.0)"
Anda Mor Road,135.0,"('Anda Mor Road', 135.0)"
Lyari Town,891.0,"('Lyari Town', 891.0)"
I-11,665.0,"('I-11', 665.0)"
