location,Property_counts,mean_price,min_price,max_price
Shama Road,2,12089285.714285715,3000000,55000000
Shamkay Bhattian,2,5500000.0,5500000,5500000
Shanghai Road,2,6466428.571428572,3600000,10900000
Sharaqpur Road,2,3872058.8235294116,2290000,9500000
Sheikhupura Road,2,11366666.666666666,2200000,32500000
Sher Shah Road,2,11560000.0,5000000,20000000
Shera Kot,2,9970000.0,4500000,11500000
Sheraz Town,2,5370370.37037037,2100000,20000000
Shershah Colony - Ichra,1,11199750.0,2800000,25500000
Shershah Colony - Raiwind Road,1,6032065.7894736845,12000,11000000
Sherwani Town Housing Scheme,1,7625000.0,4100000,10000000
Shiraz Villas,1,14250000.0,8000000,26000000
Shoukat Town,1,7780000.0,3600000,12800000
Shuja Road,1,6750000.0,6500000,7500000
Siddiqia Colony,1,36833333.333333336,5500000,98000000
Siddiqia Society (College Road),1,6000000.0,6000000,6000000
Sikandar Road,1,25000000.0,25000000,25000000
Singhpura,1,8785714.285714285,5000000,20000000
Sitara Colony,1,8166666.666666667,4500000,12500000
Sodiwal,1,13042307.692307692,2200000,42500000
Sozo Town,1,7250000.0,1500000,13000000
State Life Housing Society,1,22557482.18527316,6200000,165000000
Sue-e-Asal,1,10163636.363636363,1500000,60000000
Sufiabad,1,3520000.0,2500000,4800000
Sui Gas Employees Cooperative Housing Society,1,46800000.0,18000000,100000000
Sui Gas Housing Society,1,41920895.52238806,5800000,130000000
Sukh Chayn Gardens,1,33680000.0,10500000,220000000
Sultan Colony,1,25000000.0,25000000,25000000
Sultan Pura,1,13666666.666666666,4500000,20000000
Sultan Town,1,18154545.454545453,7500000,37500000
Sundar,1,2500000.0,2500000,2500000
Sundar Road,1,60000000.0,60000000,60000000
Sunderdas Road,1,24000000.0,8000000,40000000
Sunflower Housing Society,1,25111111.111111112,8000000,35000000
Sunfort Gardens,1,12153571.42857143,9500000,16000000
Sunny Park,1,19408333.333333332,8000000,30000000
Super Town,1,13241463.414634146,9000000,27500000
Supreme Villas,1,25000000.0,25000000,25000000
Swami Nagar,1,14300000.0,8500000,22000000
T & T Aabpara Housing Society,1,13540740.74074074,6500000,30000000
TECH Society,1,88350000.0,42500000,120000000
TIP Housing Society,1,17160000.0,9800000,21000000
Taj Bagh Scheme,1,12507766.990291262,3500000,37500000
Tajpura,1,5604251.012145749,1200000,40000000
Tariq Gardens,1,21719323.671497583,9900000,225000000
Tariq Ismail Road,1,12500000.0,12500000,12500000
Tarogill,1,2945454.5454545454,1600000,3200000
Temple Road,1,55625000.0,14500000,130000000
Thethar,1,48500000.0,22000000,75000000
Thokar Niaz Baig,1,15131406.25,2200000,100000000
Toheed Park,1,13200000.0,10000000,17500000
Township,1,18451522.842639595,1500000,200000000
Tricon Village,1,15110000.0,9800000,24000000
Tulspura,1,7000000.0,7000000,7000000
UBL Housing Society,1,11700000.0,6500000,25000000
UET Housing Society,1,24702439.024390243,8500000,52500000
UMT Society,1,9825000.0,8600000,12500000
Upper Mall,1,60121250.0,1950000,350000000
Urdu Bazar,1,30000000.0,30000000,30000000
Valencia Housing Society,1,31280766.961651918,80000,210000000
Venus Housing Scheme,1,13960000.0,6000000,21500000
Vital Homes Housing Scheme,1,6600000.0,6600000,6600000
Wafaqi Colony,1,7383333.333333333,3500000,13500000
Wahdat Colony,1,10761538.461538462,5200000,35000000
Wahdat Road,1,11020967.741935484,4000000,50000000
Walled City,1,17635185.185185187,1950000,50000000
Walton Railway Officers Colony,1,12650000.0,9700000,16500000
Walton Road,1,10134107.843137255,2450000,35000000
Wapda Colony,1,16250000.0,7000000,28000000
Wapda Town,1,25235679.852040816,4,100000000
Waris Colony,1,6050000.0,6000000,6100000
Waris Road,1,36000000.0,14000000,80000000
Wassanpura,1,15752941.176470589,4500000,55000000
West Wood Housing Society,1,33735294.11764706,8500000,55000000
Wocland Villas,1,9800000.0,9800000,9800000
Wyeth Employees Coop Housing,1,16000000.0,16000000,16000000
Yazdani Road,1,4550000.0,4100000,5000000
Youhanabad,1,4300000.0,1700000,8000000
Zaheer Villas,1,7889473.684210527,6500000,10500000
Zaitoon - New Lahore City,1,7493636.363636363,800000,13000000
Zaitoon Colony,1,11200000.0,11200000,11200000
Zaman Colony,1,16930000.0,5500000,35000000
Zaman Park,1,74000000.0,65000000,110000000
Zubaida Park,1,14642857.142857144,4500000,30000000
