location,Property_counts,mean_price,min_price,max_price
Cavalry Ground,40,39720469.798657715,4850000,185000000
Central Park Housing Scheme,40,19367785.234899327,3500000,400000000
Chah Miran,40,9626666.666666666,3100000,25000000
Chaman Park,39,23320000.0,5500000,45000000
Chauburji,39,25250000.0,10500000,40000000
Chauburji Chowk,39,18225000.0,8300000,40000000
Chauburji Park Road,38,21937500.0,13500000,36000000
Chaudhary Colony,38,7700000.0,5000000,9100000
Chaudhary Park,38,11900000.0,6800000,17000000
China Scheme,38,8859523.80952381,3500000,22500000
Chinar Bagh,38,14232000.0,5500000,40000000
Chohan Road,37,25833333.333333332,5000000,150000000
Chungi Amar Sadhu,37,9049242.424242424,2200000,106500000
Civil Defence,37,13285714.285714285,8500000,17000000
Clifton Colony,37,7916363.636363637,3600000,17500000
College Road,35,11440800.0,4000000,240000000
Combo Colony,34,4500000.0,4500000,4500000
Cooper Road,34,10084285.714285715,7757000,20000000
Country Homes,33,80000000.0,80000000,80000000
Crescent Town,33,6000000.0,6000000,6000000
Cricketer Villas,33,10761111.111111112,7500000,35000000
DHA 11 Rahbar,33,12512234.042553192,2100000,33000000
DHA City,32,18000000.0,8000000,28000000
DHA Defence,32,47887688.54899838,20000,935000000
Daroghewala,31,7308333.333333333,2250000,45000000
Dars Baray Mian,31,2200000.0,2200000,2200000
Data Darbar Road,31,9000000.0,9000000,9000000
Data Ganj Bakhsh Town,30,8100000.0,8100000,8100000
Davis Road,30,10988888.888888888,3700000,18000000
Defence Fort,30,8500000.0,8500000,8500000
Defence Garden,29,10750000.0,6500000,15000000
Defence Road,29,13496588.235294119,1550000,132000000
Dharampura,29,12554545.454545455,2800000,40000000
Dholanwal,29,9700000.0,3500000,25000000
Divine Gardens,28,18462921.348314606,10000000,57500000
Divine Homes,28,17600000.0,16500000,20000000
Doctors Housing Society,28,18750000.0,14000000,30000000
Dogech,28,5822222.222222222,1800000,10500000
Dream Avenue Lahore,28,8978750.0,6000000,18000000
Dream Villas,27,16500000.0,16000000,17000000
Dubai Town,27,5084615.384615385,3000000,9500000
Dubban Pura,27,4365000.0,2250000,6500000
EME Society,27,45657031.25,10300000,125000000
Eden,27,14530250.626566416,1700000,125000000
Eden Avenue Extension,26,19458333.333333332,16000000,23500000
Eden Park,25,48500000.0,27500000,110000000
Eden Place Housing Scheme,25,14000000.0,8500000,22500000
Eden Villas,25,5747058.823529412,1850000,15000000
Education Town,25,21840000.0,13200000,31500000
Elite Town,24,8510000.0,2500000,50000000
Empress Road,24,13000000.0,5000000,25000000
Excise & Taxation Housing Scheme,24,27166666.666666668,12500000,53000000
Expo Avenue Society,24,7933333.333333333,7000000,8600000
Faisal Ghuman Road,24,9500000.0,9500000,9500000
Faisal Town,24,28029569.892473117,4500000,190000000
Faiz Bagh,23,11700000.0,2500000,25000000
Farid Court Road,23,1200000.0,1200000,1200000
Farooq Colony,23,8441666.666666666,6150000,11000000
Fateh Garh,23,18800649.35064935,2500000,127500000
Fateh Villas,22,5900000.0,4300000,7500000
Fazaia Housing Scheme,22,21147368.42105263,12000000,40000000
Ferozepur City,22,8600000.0,8600000,8600000
Ferozepur Road,22,6146039.106145252,23000,70000000
Firdous Colony,22,11500000.0,11500000,11500000
Formanites Housing Scheme,22,10097435.897435898,5500000,16000000
Fort Villas,22,20525000.0,8500000,40000000
GOR,22,194250000.0,4500000,620000000
GT Road,21,6902717.948717949,1100000,35000000
Gajju Matah,21,6194965.517241379,1904000,20000000
Garden Town,21,66120657.27699531,3500000,750000000
Garhi Shahu,21,14097435.897435898,4000000,40000000
Garrison Homes,20,7022916.666666667,3300000,15500000
Gawala Colony,20,30000000.0,30000000,30000000
Gawalmandi,20,9000000.0,4000000,14000000
Ghalib Colony,20,11000000.0,11000000,11000000
Ghausia Colony,20,10176470.588235294,5500000,14000000
Ghaziabad,19,6373529.411764706,2150000,29000000
Ghous Garden,19,5412328.767123288,2500000,11500000
Gohawa,19,4175000.0,2700000,6000000
Gosha-e-Ahbab,19,8366666.666666667,3000000,39000000
Government Employees Cooperative Housing Society (GECHS),18,53904761.9047619,14000000,150000000
Government Transport Headquarters Cooperative Housing Society,18,7200000.0,7200000,7200000
Grand Avenues Housing Scheme,18,5411764.705882353,2200000,12000000
Green Acres Housing Society,18,96185714.28571428,5600000,210000000
Green Cap Housing Society,18,6303658.536585365,2800000,32500000
Green City,17,18086792.452830188,11000000,40000000
Green Fort,17,118500000.0,55000000,200000000
Green Park,17,8872727.272727273,4200000,15000000
Green Park Society,17,8960000.0,7500000,10800000
Green Town,17,6231720.4301075265,1800000,20000000
Gujjar Colony,17,6000000.0,6000000,6000000
Gujjarpura,17,8190000.0,5500000,10000000
Gul Colony,17,5000000.0,5000000,5000000
Gul Kali,17,12766666.666666666,12000000,13500000
Gul-e-Damin,16,18791666.666666668,12500000,26000000
Gulbahar Colony,16,12125000.0,9500000,14000000
Gulbahar Park,16,21916666.666666668,13000000,25000000
Gulberg,16,97697290.625,48000,1430000000
Guldasht Town,16,17990000.0,8000000,25000000
Gulfishan Colony,15,33700000.0,22000000,48800000
Gulfishan Town,15,3500000.0,3500000,3500000
Gulistan Colony,15,11000000.0,9000000,14000000
Gulnishan Park,15,7500000.0,7500000,7500000
Gulshan Colony,15,12462500.0,7200000,27500000
Gulshan Farooq Scheme,15,4900000.0,4800000,5000000
Gulshan Park,15,7750000.0,2500000,15000000
Gulshan View Residence Society,14,11166666.666666666,10500000,12500000
Gulshan-E-Mustafa Housing Society,14,13500000.0,10000000,17000000
Gulshan-e-Ahbab,14,5080000.0,3800000,6700000
Gulshan-e-Lahore,14,14395238.095238095,9000000,35000000
Gulshan-e-Ravi,14,18034889.434889436,1950000,70000000
Gulshan-e-Riaz,14,12800000.0,12800000,12800000
Gulshan-e-Yaseen Housing Society,14,3366666.6666666665,2500000,5000000
Gulzar E Ahbab Society,14,8166666.666666667,8000000,8500000
HBFC Housing Society,13,41377777.777777776,22000000,77500000
Habib Homes,13,11450000.0,3500000,20000000
