location,p_counts,min_price,max_price,mean_price
Adiala Road,1,6700000,6700000,6700000.0
Bahria Town Rawalpindi,6,115000,25000000,8985833.333333334
High Court Road,1,11000000,11000000,11000000.0
Samarzar Housing Society,4,30000,35000,31250.0
Satellite Town,1,58000000,58000000,58000000.0
