location,Property_counts,mean_price,min_price,max_price
Gulshan-e-Haram,12,5783783.783783784,5000000,9500000
Gulshan-e-Hayat,12,21437500.0,9000000,35000000
Gulshan-e-Rafique,11,6040000.0,5000000,7500000
Gulshan-e-Rehman,11,3610000.0,20000,7200000
Gulzar Colony,11,38500000.0,27000000,50000000
Guru Nanak Pura,11,11833333.333333334,5500000,20000000
Haji Abad,11,4460000.0,11000,7800000
Hajveeri Town,10,3775000.0,2550000,5000000
Hamza Villas,10,23333.333333333332,20000,25000
Harchan Pura,10,11000000.0,11000000,11000000
Hassan Villas,10,9243888.888888888,20000,65000000
Hilal Road,10,6775000.0,2500000,12500000
Himat Pura,10,2757500.0,15000,5500000
Ideal Town,10,2620275.8620689656,15000,8500000
Ilahi Abad,9,908800.0,10000,4500000
Illahi Abad,9,1507333.3333333333,10000,6500000
Imran Road,9,14147500.0,30000,45000000
Iqbal Town,9,5000000.0,5000000,5000000
Islamia Park,9,6680000.0,5000000,8500000
Ismail City,9,20500000.0,6000000,35000000
Ismail Green Valley,9,6600000.0,5800000,8000000
Ismail Valley,9,8722222.222222222,5600000,12000000
Jail Road,8,22583333.333333332,5000000,70000000
Jameel Town,8,3253250.0,6500,6500000
Jaranwala,8,5001333.333333333,16000,12500000
Jaranwala Road,8,4946129.0322580645,15000,19500000
Jaranwala Town,8,3200000.0,3200000,3200000
Jhaal Chowk,8,16000000.0,16000000,16000000
Jhang Bazar,8,11250000.0,6000000,16500000
Jhang Road,8,8047175.675675675,10000,60000000
Jhumra Road,8,3393529.411764706,40000,8500000
Jinnah Colony,8,11010846.153846154,6000,60000000
Johar Colony,7,3550000.0,1700000,5000000
Judicial Employees Coop Housing Society,7,10140000.0,20000,23500000
Kaleem Shaheed Colony No 1,7,6520000.0,2200000,9800000
Kaleem Shaheed Colony No 2,7,5800000.0,2800000,12000000
Kamal Abad,6,5200000.0,5200000,5200000
Kareem City,6,6740000.0,3800000,8800000
Kareem Garden,6,10000000.0,10000000,10000000
Karim Town,6,8600000.0,6000000,10500000
Kashmir Road,6,2738565.217391304,15000,29000000
Kehkishan Colony No 1,6,2342272.727272727,25000,16000000
Kehkishan Colony No 2,6,1276200.0,12000,7000000
Khalid Abad,6,13166666.666666666,4000000,32500000
Khawaja Gardens,6,10000000.0,8000000,12000000
Khawaja Islam Road,6,38333333.333333336,25000000,60000000
Khayaban Colony,6,3201579.3103448274,15000,100000000
Khayaban Colony 2,6,6342141.176470588,18000,40000000
Khayaban Gardens,6,9826875.0,23000,26000000
Khayaban-e-Manzoor,6,6910000.0,4300000,8000000
Khurianwala,6,4432750.0,12000,10000000
Khurrianwala Town,6,7000000.0,7000000,7000000
Kiran Villas,6,2500000.0,2500000,2500000
Kohinoor City,5,783805.5555555555,12000,3500000
Kohinoor Town,5,12671565.217391305,16000,65000000
Lahore - Sheikhupura - Faisalabad Road,5,8355812.5,12000,61000000
Lalazar,5,4000000.0,4000000,4000000
Lasani Garden,5,17761666.666666668,70000,27500000
Lasani Town,5,13404166.666666666,15000,35000000
Latif Garden,5,4495357.142857143,17500,9000000
Lawyers Housing Society,5,45000.0,45000,45000
Liaqat Road,5,8800000.0,8800000,8800000
Liaquat Town,5,7969562.5,14000,25000000
Lower Canal Road,4,9680000.0,40000,20000000
Lyallpur Town,4,12500000.0,12500000,12500000
Madan Pura,4,5250000.0,4500000,6000000
Madina Gardens,4,8833333.333333334,5500000,12000000
Madina Town,4,9238812.138728324,7000,70000000
Mahmoodabad,4,7470000.0,20000,12000000
Makkah Commercial Market,4,11000.0,7000,15000
Makkah Garden,4,4606827.586206896,18000,31500000
Manawala,4,4741210.52631579,10000,9000000
Mansoorabad,4,5400857.142857143,10000,15000000
Mediacom Avenue,4,12550000.0,150000,20000000
Mian Zulfiqar Ali Shahid Road,4,2248941.1764705884,14000,9000000
Millat Chowk,4,7000000.0,7000000,7000000
Millat Road,4,6183100.0,9000,51000000
Millat Town,3,7910025.974025974,12000,25000000
Model Town,3,36866666.666666664,600000,80000000
Mohammad Nagar,3,2929000.0,18000,6500000
Motorway City,3,1746666.6666666667,20000,5200000
Munianwala,3,6750000.0,5500000,8000000
Murababad,3,2750000.0,2500000,3000000
Muslim Town,3,7777266.129032258,10000,50000000
Muzaffar Colony,3,7000000.0,3500000,11000000
Narwala Road,3,7137857.142857143,10000,54000000
Naveed Garden,3,22000.0,22000,22000
Nawaban Wala,3,6150000.0,5500000,6800000
Nazimabad,3,12473333.333333334,3800000,32500000
Nazimabad Villas,3,13000000.0,13000000,13000000
Nemat Colony No 1,3,3690740.7407407407,13000,9000000
Nemat Colony No 2,3,5110133.333333333,22000,11000000
New Garden Town,3,3952800.0,8500,30000000
New Green Town,3,3758250.0,16500,7500000
Niamuana Bypass Road,3,3600000.0,3600000,3600000
Nighabanpura,2,6575000.0,3800000,8500000
Nisar Colony,2,6532600.0,18000,37500000
Nishatabad,2,3315076.923076923,20000,10000000
Officers Colony,2,15321866.666666666,15000,70000000
Others,2,3678270.531400966,5000,145200000
Paradise Valley,2,93388888.8888889,8000000,200000000
Partab Nagar,2,5833833.333333333,18000,15000000
Peoples Colony No 1,2,12440033.492822966,12000,360000000
Peoples Colony No 2,2,10666354.838709677,3000,60000000
Punjab Govt. Servants Housing Foundation,2,6958333.333333333,35000,25000000
Punjab Small Industries Estate,2,29000.0,25000,33000
Qamar Garden,2,8312500.0,125000,16500000
Qasim Abad,2,7500000.0,7500000,7500000
Quaid-e-Azam Park,2,4700000.0,4700000,4700000
Rabbani Colony,2,6086777.777777778,19000,13500000
Rachna Town,2,3893014.925373134,8000,18000000
Raheem Gardens,2,4598500.0,15000,12000000
Railway Road,2,22500.0,10000,35000
Raja Colony,2,9000000.0,9000000,9000000
Raja Park,2,1200000.0,1200000,1200000
Rasheed Nagar,2,5000000.0,4500000,5500000
Rasool Nagar,2,5850000.0,20000,35000000
Rasool Park,2,2532500.0,5000,8000000
Ravi Gardens,2,5266500.0,33000,10500000
Raza Abad,2,6073923.076923077,11000,13000000
Raza Garden,2,37398800.0,18000,82500000
Rehman Gardens,2,3484714.285714286,20000,30000000
Rehman Pura,2,5000000.0,5000000,5000000
Rehman Town,2,2860625.0,18000,20000000
Rehman Villas,2,6609500.0,20000,24000000
Rehmania Town,2,896588.2352941176,6000,15000000
Riaz ul Jannah,2,12688166.666666666,17000,32500000
Ryaz ul Jannah,1,3500000.0,3500000,3500000
SMD Homes,1,2691666.6666666665,2500000,2800000
Saddar,1,11166666.666666666,5000000,20000000
Saeed Colony,1,8067451.807228915,10000,85000000
Sahianwala,1,4800000.0,4800000,4800000
Saifabad,1,6225000.0,3700000,9200000
Samanabad,1,10570307.692307692,10000,72500000
Samanabad Road,1,9500000.0,9000000,10000000
Samundari Road,1,5335481.432360742,5000,35000000
Santpura,1,42600000.0,9500000,150000000
Sargodha Road,1,6429473.684210527,3000,40000000
Satellite Town,1,3903600.0,18000,7500000
Satiana Road,1,5283202.564102564,5000,229500000
Shadab Colony,1,5283571.428571428,15000,22500000
Shadman Colony,1,13283217.391304348,27000,70000000
Shahbaz Town,1,7149437.5,7500,18000000
Shahzad Colony,1,14263500.0,12000,35000000
Shalimar Park,1,4086571.4285714286,13000,8500000
Sheikh Colony,1,13976909.090909092,16000,40000000
Siddiqia Mill Colony,1,3700000.0,3700000,3700000
Sir Syed Town,1,7716259.259259259,14000,15000000
Sitara Colony,1,5326700.0,17000,10000000
Sitara Sapna City,1,11433571.42857143,35000,40000000
Sitara Supreme City,1,14750000.0,11500000,18000000
Sitara Valley,1,9491500.0,21000,17500000
Steam Power Station Colony,1,8500000.0,8500000,8500000
Suhail Abad,1,3853750.0,15000,6500000
Susan Road,1,25281750.0,11000,160000000
Taj Colony,1,5504000.0,16000,8000000
Tandlianwala Town,1,5750000.0,5500000,6000000
Tariqabad,1,4890384.615384615,5000,12000000
Tezab Mill Road,1,5503750.0,15000,11500000
Umair Town,1,4014500.0,29000,8000000
Umer Garden,1,785090.9090909091,7000,15000000
Umer Valley,1,3650000.0,3500000,3800000
University Town,1,37250000.0,24000000,50000000
Usman Town,1,6268181.818181818,2600000,13000000
Valencia Gardens,1,1036428.5714285715,18000,9500000
Vista Homes,1,7858333.333333333,4575000,10000000
Wapda City,1,13148955.017301038,20500,45000000
Wapda Town,1,6960000.0,6960000,6960000
Waris Pura,1,5033000.0,10000,17000000
Yasrab Colony,1,8500000.0,8500000,8500000
Younas Town,1,1852785.7142857143,10000,8500000
Yousaf Town,1,1906857.142857143,10000,9500000
Zia Colony,1,14853846.153846154,35000,40000000
Zubair Colony,1,2700000.0,2700000,2700000
Zulfiqar Colony,1,6266666.666666667,3800000,8500000
