location,p_counts,min_price,max_price,mean_price
Ismail City,2,6000000,35000000,20500000.0
Ismail Green Valley,3,5800000,8000000,6600000.0
Ismail Valley,9,5600000,12000000,8722222.222222222
Jail Road,6,5000000,70000000,22583333.333333332
Jameel Town,2,6500,6500000,3253250.0
Jaranwala,12,16000,12500000,5001333.333333333
Jaranwala Road,56,15000,19500000,5405892.857142857
Jaranwala Town,1,3200000,3200000,3200000.0
Jhaal Chowk,1,16000000,16000000,16000000.0
Jhang Bazar,2,6000000,16500000,11250000.0
Jhang Road,67,10000,50000000,7225194.0298507465
Jhumra Road,17,40000,8500000,3393529.411764706
Jinnah Colony,10,75000,60000000,13861000.0
Johar Colony,6,1700000,5000000,3550000.0
Judicial Employees Coop Housing Society,3,40000,23500000,13513333.333333334
Kaleem Shaheed Colony No 1,10,2200000,9800000,6520000.0
Kaleem Shaheed Colony No 2,8,2800000,12000000,5800000.0
Kamal Abad,1,5200000,5200000,5200000.0
Kareem City,5,3800000,8800000,6740000.0
Kareem Garden,1,10000000,10000000,10000000.0
Karim Town,3,6000000,10500000,8600000.0
Kashmir Road,5,40000,29000000,12519000.0
Kehkishan Colony No 1,11,25000,16000000,2342272.727272727
Kehkishan Colony No 2,8,12000,7000000,1588000.0
Khalid Abad,9,4000000,32500000,13166666.666666666
Khawaja Gardens,2,8000000,12000000,10000000.0
Khawaja Islam Road,3,25000000,60000000,38333333.333333336
Khayaban Colony,119,15000,100000000,3894260.504201681
Khayaban Colony 2,60,20000,40000000,8972183.333333334
Khayaban Gardens,20,23000,26000000,11784950.0
Khayaban-e-Manzoor,10,4300000,8000000,6910000.0
Khurianwala,8,12000,10000000,4432750.0
Khurrianwala Town,1,7000000,7000000,7000000.0
Kiran Villas,1,2500000,2500000,2500000.0
Kohinoor City,1,700000,700000,700000.0
Kohinoor Town,17,100000,65000000,17127941.17647059
Lahore - Sheikhupura - Faisalabad Road,30,22000,61000000,8911733.333333334
Lalazar,1,4000000,4000000,4000000.0
Lasani Garden,6,70000,27500000,17761666.666666668
Lasani Town,11,35000,35000000,14621363.636363637
Latif Garden,7,17500,9000000,4495357.142857143
Liaqat Road,1,8800000,8800000,8800000.0
Liaquat Town,7,14000,25000000,9105214.285714285
Lower Canal Road,3,40000,20000000,9680000.0
Lyallpur Town,1,12500000,12500000,12500000.0
Madan Pura,2,4500000,6000000,5250000.0
Madina Gardens,3,5500000,12000000,8833333.333333334
Madina Town,253,7000,70000000,12612996.04743083
Mahmoodabad,6,20000,12000000,7470000.0
Makkah Garden,23,35000,31500000,5802652.173913044
Manawala,18,23000,9000000,5004055.555555556
Mansoorabad,30,20000,15000000,6298000.0
Mediacom Avenue,3,150000,20000000,12550000.0
Mian Zulfiqar Ali Shahid Road,10,14000,9000000,3810400.0
Millat Chowk,1,7000000,7000000,7000000.0
Millat Road,89,9000,51000000,6252348.314606742
Millat Town,75,12000,25000000,8120426.666666667
Model Town,3,600000,80000000,36866666.666666664
Mohammad Nagar,5,18000,6500000,2929000.0
Motorway City,3,20000,5200000,1746666.6666666667
Munianwala,2,5500000,8000000,6750000.0
Murababad,2,2500000,3000000,2750000.0
Muslim Town,110,22000,50000000,8763745.454545455
Muzaffar Colony,3,3500000,11000000,7000000.0
Narwala Road,18,35000,13000000,4910277.777777778
Nawaban Wala,2,5500000,6800000,6150000.0
Nazimabad,15,3800000,32500000,12473333.333333334
Nazimabad Villas,1,13000000,13000000,13000000.0
Nemat Colony No 1,21,13000,9000000,4739523.80952381
Nemat Colony No 2,15,22000,11000000,5110133.333333333
New Garden Town,11,8500,30000000,5380545.454545454
New Green Town,2,16500,7500000,3758250.0
Niamuana Bypass Road,4,3600000,3600000,3600000.0
Nighabanpura,4,3800000,8500000,6575000.0
