location,Property_counts,mean_price,min_price,max_price
Peoples Colony No 2,2,10666354.84,3000,60000000
Punjab Govt. Servants Housing Foundation,2,6958333.333,35000,25000000
Punjab Small Industries Estate,2,29000,25000,33000
Qamar Garden,2,8312500,125000,16500000
Qasim Abad,2,7500000,7500000,7500000
Quaid-e-Azam Park,2,4700000,4700000,4700000
Rabbani Colony,2,6086777.778,19000,13500000
Rachna Town,2,3893014.925,8000,18000000
Raheem Gardens,2,4598500,15000,12000000
Railway Road,2,22500,10000,35000
Raja Colony,2,9000000,9000000,9000000
Raja Park,2,1200000,1200000,1200000
Rasheed Nagar,2,5000000,4500000,5500000
Rasool Nagar,2,5850000,20000,35000000
Rasool Park,2,2532500,5000,8000000
Ravi Gardens,2,5266500,33000,10500000
Raza Abad,2,6073923.077,11000,13000000
Raza Garden,2,37398800,18000,82500000
Rehman Gardens,2,3484714.286,20000,30000000
Rehman Pura,2,5000000,5000000,5000000
Rehman Town,2,2860625,18000,20000000
Rehman Villas,2,6609500,20000,24000000
Rehmania Town,2,896588.2353,6000,15000000
Riaz ul Jannah,2,12688166.67,17000,32500000
Ryaz ul Jannah,1,3500000,3500000,3500000
SMD Homes,1,2691666.667,2500000,2800000
Saddar,1,11166666.67,5000000,20000000
Saeed Colony,1,8067451.807,10000,85000000
Sahianwala,1,4800000,4800000,4800000
Saifabad,1,6225000,3700000,9200000
Samanabad,1,10570307.69,10000,72500000
Samanabad Road,1,9500000,9000000,10000000
Samundari Road,1,5335481.432,5000,35000000
Santpura,1,42600000,9500000,150000000
Sargodha Road,1,6429473.684,3000,40000000
Satellite Town,1,3903600,18000,7500000
Satiana Road,1,5283202.564,5000,229500000
Shadab Colony,1,5283571.429,15000,22500000
Shadman Colony,1,13283217.39,27000,70000000
Shahbaz Town,1,7149437.5,7500,18000000
Shahzad Colony,1,14263500,12000,35000000
Shalimar Park,1,4086571.429,13000,8500000
Sheikh Colony,1,13976909.09,16000,40000000
Siddiqia Mill Colony,1,3700000,3700000,3700000
Sir Syed Town,1,7716259.259,14000,15000000
Sitara Colony,1,5326700,17000,10000000
Sitara Sapna City,1,11433571.43,35000,40000000
Sitara Supreme City,1,14750000,11500000,18000000
Sitara Valley,1,9491500,21000,17500000
Steam Power Station Colony,1,8500000,8500000,8500000
Suhail Abad,1,3853750,15000,6500000
Susan Road,1,25281750,11000,160000000
Taj Colony,1,5504000,16000,8000000
Tandlianwala Town,1,5750000,5500000,6000000
Tariqabad,1,4890384.615,5000,12000000
Tezab Mill Road,1,5503750,15000,11500000
Umair Town,1,4014500,29000,8000000
Umer Garden,1,785090.9091,7000,15000000
Umer Valley,1,3650000,3500000,3800000
University Town,1,37250000,24000000,50000000
Usman Town,1,6268181.818,2600000,13000000
Valencia Gardens,1,1036428.571,18000,9500000
Vista Homes,1,7858333.333,4575000,10000000
Wapda City,1,13148955.02,20500,45000000
Wapda Town,1,6960000,6960000,6960000
Waris Pura,1,5033000,10000,17000000
Yasrab Colony,1,8500000,8500000,8500000
Younas Town,1,1852785.714,10000,8500000
Yousaf Town,1,1906857.143,10000,9500000
Zia Colony,1,14853846.15,35000,40000000
Zubair Colony,1,2700000,2700000,2700000
Zulfiqar Colony,1,6266666.667,3800000,8500000
