location,Property_counts,mean_price,min_price,max_price
Ghous-e-Azam Road,11,7518333.333333333,15000,12500000
Ghousia Colony,10,10175666.666666666,27000,15500000
Girja Road,10,3142758.620689655,5000,26000000
Gorakhpur,10,5600000.0,4000000,7200000
Gulbahar Scheme,10,4621428.571428572,3000000,7000000
Gulistan Colony,10,9870101.265822785,20000,42000000
Gulistan Fatima Colony,10,3566666.6666666665,3500000,3700000
Gulistan-e-Jinnah Colony,9,14515000.0,30000,29000000
Gulraiz Housing Scheme,9,7176265.180265655,8000,80000000
Gulshan Abad,9,11804842.857142856,0,50000000
Gulshan Dadan,9,15014625.0,8500,60000000
Gulshan-e-Iqbal,9,6437780.0,18500,25000000
Gulshan-e-Saeed,9,7125000.0,5500000,8500000
Gulshan-e-Safeer,9,2408333.3333333335,25000,3700000
Gulshan-e-Shamal,9,3000000.0,3000000,3000000
Gulshan-e-Zaheer Colony,9,5700000.0,5700000,5700000
Gulzar-e-Quaid Housing Society,9,6728087.5,6000,40000000
Haji Chowk,8,7579166.666666667,3800000,14000000
Hakim Muhammad Ajmal Khan Road,8,15000000.0,15000000,15000000
Harley Street,8,14446313.725490196,18000,110000000
Hazara Colony,8,6214285.714285715,4500000,7500000
High Court Road,8,9816714.285714285,15000,22000000
Holy Family Road,8,7683777.777777778,11000,22000000
Humak,8,9333333.333333334,6500000,13500000
Ideal Homes Society,7,3946533.3333333335,16000,7000000
Imam Bara Road,7,15325000.0,6000000,37500000
Islamabad Farm Houses,7,12250000.0,4500000,20000000
Islamabad Highway,7,5127113.333333333,10000,17000000
Jamia Masjid Road,7,10000.0,10000,10000
Janjua Town,7,6170370.37037037,3500000,12000000
Jarahi,7,4566666.666666667,3200000,6000000
Jhanda Chichi,7,12509000.0,18000,25000000
Jinnah Colony,7,30000.0,30000,30000
Judicial Colony,7,9057470.588235294,20000,32500000
Jumma Market,7,4500000.0,4500000,4500000
KRL Road,6,3292975.0,6000,20000000
Kacheri Chowk,6,35000000.0,35000000,35000000
Kahuta,6,6791250.0,15000,20000000
Kallar Syedan,6,16000000.0,16000000,16000000
Kalma Chowk,6,4553772.7272727275,10000,24500000
Kamala Abad,6,8870000.0,3850000,19000000
Kartar Pura,6,12433333.333333334,3400000,32500000
Khanna Road,6,6562321.428571428,11500,18200000
Khayaban-e-Faisal,6,18750000.0,7500000,30000000
Khayaban-e-Sir Syed,6,3285669.9751861044,14000,40000000
Khayaban-e-Tanveer,6,7652727.2727272725,8000,24000000
Khurram Colony,5,6205842.105263158,15000,15000000
Kingdom Valley Islamabad,5,11000.0,11000,11000
Kiyani Road,5,10000.0,10000,10000
Kohati Bazar,5,17000.0,17000,17000
Kurri Road,5,5447671.428571428,7000,48000000
Lakhu Road,5,2400000.0,2400000,2400000
Lalarukh Colony,4,5125000.0,3000000,7500000
Lalazar,4,9189093.137254901,16500,90000000
Lalazar 2,4,4426666.666666667,2100000,10000000
Lalkurti,4,12093750.0,22000,65000000
Liaquat Bagh,4,7275000.0,2000000,31500000
Liaquat Colony,4,4217647.05882353,1600000,7500000
Magistrate Colony,4,5557500.0,30000,9000000
Malik Colony,4,3333333.3333333335,1900000,5500000
Mall Road,4,4323333.333333333,170000,8000000
Mangral Town,4,5675888.888888889,16000,14000000
Marir,4,9000.0,9000,9000
Marir Hassan,4,4500000.0,4500000,4500000
Media Town,4,13482868.486352358,25000,32500000
